name,AQI,PM2.5,PM10,CO,CO2,O3/1,O3/8,SO2
轻度污染,121,29,191,2.761,11,41,31,14
良,99,32,147,2.811,10,40,23,18
中度污染,158,36,266,2.308,38,23,38,10
中度污染,163,39,276,2.582,26,35,36,11
轻度污染,128,27,205,2.918,19,32,37,15
中度污染,158,120,217,2.783,70,7,12,21
轻度污染,132,25,213,2.47,12,48,44,13
轻度污染,125,82,199,3.653,60,8,28,54
轻度污染,107,23,163,2.328,24,38,34,8
轻度污染,135,77,220,3.15,62,15,9,61
轻度污染,135,103,213,3.221,84,27,14,79
中度污染,158,38,266,2.403,24,38,33,10
中度污染,153,117,174,3.541,29,11,9,18
轻度污染,148,113,229,3.856,58,8,17,38
轻度污染,137,104,213,3.538,76,9,9,39
轻度污染,130,99,187,1.422,60,10,8,20
轻度污染,122,83,194,3.295,30,36,27,51
轻度污染,138,103,226,3.854,121,7,19,41
中度污染,160,122,217,2.292,92,8,37,27
轻度污染,147,86,243,3.221,34,40,26,37
轻度污染,125,92,199,3.169,73,14,11,102
轻度污染,120,91,168,1.362,58,35,14,30
轻度污染,137,104,192,3.188,30,34,39,30
轻度污染,138,105,152,3.27,36,13,13,14
轻度污染,121,27,192,2.95,18,36,36,13
轻度污染,135,103,214,3.342,77,9,10,44
轻度污染,119,87,187,3.122,91,19,16,89
轻度污染,124,66,197,3.445,61,13,27,52
轻度污染,125,68,200,3.441,63,9,19,60
轻度污染,114,69,177,3.231,36,35,31,41
轻度污染,118,89,167,3.008,37,30,14,40
轻度污染,150,98,250,3.951,46,22,10,29
轻度污染,150,115,228,3.595,37,29,16,30
轻度污染,115,87,178,3.956,76,10,16,33
良,80,25,109,2.188,30,25,23,16
轻度污染,129,98,152,3.315,24,42,18,28
轻度污染,145,111,206,2.962,24,16,14,6
轻度污染,120,86,189,3.047,90,17,20,66
轻度污染,137,104,144,3.772,48,7,17,19
轻度污染,138,105,205,3.761,55,23,10,42
轻度污染,131,72,212,3.291,34,33,18,50
良,81,24,112,2.298,40,16,23,15
良,84,19,118,2.6,20,42,38,11
轻度污染,116,72,182,3.278,49,23,31,49
轻度污染,117,88,174,3.279,55,17,9,44
中度污染,160,122,196,3.177,33,25,35,21
轻度污染,125,87,200,3.806,136,7,31,45
轻度污染,128,97,199,4.898,87,7,27,28
轻度污染,121,72,191,4.692,57,7,16,18
轻度污染,117,63,183,3.388,38,31,14,29
轻度污染,102,52,154,2.664,47,45,16,27
良,100,73,150,1.636,51,29,12,35
轻度污染,106,76,161,3.015,66,27,23,41
中度污染,154,90,257,4.116,52,7,11,22
轻度污染,115,49,180,3.781,64,8,29,43
轻度污染,130,43,209,3.117,24,19,12,32
轻度污染,144,110,196,3.304,37,31,34,33
轻度污染,125,95,160,3.008,28,15,12,18
轻度污染,127,96,136,3.42,50,9,23,18
中度污染,156,100,261,4.14,41,9,7,27
轻度污染,121,68,192,3.8,64,18,36,25
轻度污染,101,72,152,3.299,26,25,17,25
良,82,41,114,2.705,11,61,30,15
轻度污染,123,73,196,4.423,67,7,25,23
轻度污染,127,28,203,2.964,24,32,34,14
轻度污染,115,87,170,3.287,77,9,20,28
轻度污染,119,90,173,1.315,52,48,24,26
轻度污染,139,106,189,3.043,27,13,14,8
轻度污染,124,94,135,3.005,21,26,22,13
良,100,60,149,3.219,123,13,34,45
良,84,44,117,2.616,11,60,36,35
轻度污染,112,84,144,1.525,114,11,24,27
轻度污染,110,83,164,3.313,36,25,23,19
轻度污染,118,45,185,3.579,63,12,36,22
轻度污染,122,92,159,3.114,31,11,12,21
轻度污染,111,82,172,4.868,103,7,37,32
轻度污染,119,67,188,3.413,32,44,18,37
轻度污染,110,32,169,3.047,26,23,16,32
轻度污染,109,82,118,3.116,32,25,26,23
轻度污染,120,68,190,3.922,41,7,8,17
轻度污染,128,41,205,3.215,34,12,18,22
轻度污染,110,48,169,3.835,60,7,20,30
良,89,50,128,3.243,41,23,30,24
轻度污染,117,88,177,3.14,35,27,47,32
良,98,73,105,2.902,28,25,25,17
轻度污染,125,41,200,3.197,37,11,16,21
轻度污染,109,26,168,3.074,30,26,28,16
轻度污染,103,77,116,2.934,32,29,27,15
轻度污染,117,88,155,3.066,32,10,13,15
轻度污染,108,53,165,3.557,62,26,41,25
中度污染,168,127,201,3.27,35,16,32,24
良,80,59,87,3.185,41,12,17,25
轻度污染,112,37,173,3.151,31,38,38,15
轻度污染,116,36,181,3.207,28,21,18,28
轻度污染,114,31,177,3.349,49,8,22,24
良,88,26,126,3.161,64,9,35,15
良,94,70,103,2.978,34,17,24,17
轻度污染,112,36,174,3.114,18,34,24,25
轻度污染,111,37,171,3.072,22,40,29,22
轻度污染,107,52,164,3.349,47,39,38,35
轻度污染,109,36,168,3.076,24,43,34,18
良,76,31,101,2.761,51,32,12,23
良,77,46,104,3.807,68,8,34,20
轻度污染,109,70,168,3.341,113,32,14,42
良,85,29,120,4.373,83,7,33,20
轻度污染,111,26,171,3.01,34,25,31,16
良,85,24,120,2.867,60,19,46,21
轻度污染,137,104,185,3.215,34,39,32,25
轻度污染,109,82,141,3.091,21,24,13,13
轻度污染,114,86,122,3.19,36,26,24,25
轻度污染,133,83,216,3.571,56,11,18,41
轻度污染,123,72,196,3.405,50,17,17,29
轻度污染,108,51,165,3.257,32,22,14,57
良,87,44,124,3.196,42,25,29,24
轻度污染,108,37,166,2.902,40,12,18,32
良,99,69,148,2.957,22,40,56,23
轻度污染,109,82,118,3.251,39,18,26,17
良,92,68,134,5.466,71,7,14,32
轻度污染,111,83,172,3.929,76,28,13,40
良,99,56,147,3.467,131,27,20,43
良,93,43,136,2.991,36,26,24,23
良,94,70,127,1.049,53,48,46,22
良,88,65,99,1.346,63,30,20,23
良,97,55,144,4.36,55,7,10,15
良,94,70,113,3.075,43,24,25,21
轻度污染,106,73,162,3.521,64,52,23,37
良,87,41,123,3.031,37,25,24,24
良,75,24,100,2.549,11,59,29,8
中度污染,152,116,194,3.12,27,37,36,22
