rank	city	AQI	PM2.5	PM10	CO	NO2	O3/1	O3/8	SO2
0	三亚	29.67	21.67	36.33	16.70	17.00	40.00	49.50	1.00
1	三门峡	75.00	44.07	67.60	3.68	45.60	23.40	25.00	64.50
2	上海	27.27	17.09	27.60	5.13	19.27	56.00	51.90	12.30
3	东莞	74.50	45.31	57.17	11.71	27.17	57.17	46.20	9.20
4	东营	27.60	12.40	34.80	10.94	15.40	48.75	52.75	19.25
5	中山	58.20	33.07	41.67	7.86	31.00	29.20	40.50	7.00
6	临安	33.00	23.00	67.00	19.34	18.33	125.00	57.50	7.50
7	临汾	109.00	69.92	119.50	6.80	53.57	68.00	26.83	312.00
8	临沂	49.60	25.31	43.20	9.65	21.00	40.50	39.50	22.50
9	丹东	26.80	14.40	32.20	8.90	9.20	43.25	40.50	21.00
10	丽水	25.75	20.50	30.33	11.86	20.25	37.67	45.67	4.33
11	义乌	67.00	32.50	48.67	8.33	23.00	19.67	17.00	10.00
12	乌鲁木齐	154.38	99.94	160.88	3.07	73.00	8.57	11.71	15.86
13	九江	37.89	26.11	17.00	3.10	16.00	17.25	21.25	6.12
14	乳山	22.67	8.33	38.00	17.72	9.33	57.50	52.00	21.50
15	云浮	159.00	90.60	114.00	4.29	68.50	15.25	46.00	21.00
16	佛山	70.11	45.10	68.29	2.80	57.56	18.56	32.62	19.62
17	保定	188.29	123.15	182.43	4.35	64.14	24.86	17.83	100.00
18	克拉玛依	59.17	25.31	58.67	11.72	28.17	51.67	68.80	3.60
19	兰州	70.33	39.27	68.33	8.85	26.00	40.67	48.60	18.60
20	包头	87.14	53.71	98.86	3.57	58.00	16.00	18.83	67.67
21	北京	60.62	39.10	59.50	2.05	57.08	11.92	14.67	20.83
22	北海	80.80	47.57	59.00	15.09	28.40	59.60	74.00	7.50
23	南京	34.90	19.70	36.78	2.78	19.80	37.56	24.67	8.22
24	南充	38.57	25.57	30.83	3.65	14.43	17.83	18.67	19.00
25	南宁	63.78	40.00	61.67	7.20	35.22	52.22	55.25	12.62
26	南昌	28.60	17.10	25.00	1.56	20.30	9.33	9.89	6.67
27	南通	30.40	17.20	38.40	11.91	10.80	60.50	58.25	13.50
28	即墨	23.33	14.33	25.33	12.78	13.00	36.50	37.50	25.50
29	厦门	38.40	26.80	37.80	9.98	17.40	49.25	47.25	4.25
30	句容	22.33	15.67	31.50	16.96	21.67	57.00	50.00	27.00
31	台州	37.00	24.00	38.00	10.23	10.75	48.00	40.67	3.00
32	合肥	51.91	33.04	14.00	3.30	15.36	30.55	28.90	15.30
33	吉林	93.50	60.01	72.29	5.32	37.50	34.88	40.14	33.71
34	吴江	20.75	18.25	23.00	8.68	23.25	26.00	34.00	4.33
35	呼和浩特	67.67	36.61	72.56	2.67	47.11	18.44	15.50	67.12
36	咸阳	61.40	33.97	57.20	5.68	22.50	25.60	26.25	28.50
37	哈尔滨	102.69	71.01	102.55	2.15	55.23	17.69	15.83	58.33
38	唐山	85.57	54.01	89.00	3.62	58.43	20.29	21.67	28.17
39	嘉兴	22.25	16.50	30.33	12.77	16.75	52.33	50.33	12.33
40	嘉峪关	88.67	19.48	92.33	16.63	34.00	36.67	53.50	11.50
41	大同	95.43	60.87	103.29	5.34	39.14	25.43	24.33	62.50
42	大庆	63.33	37.76	49.60	6.98	26.33	37.33	33.40	25.60
43	大连	52.20	26.96	51.00	5.07	23.11	44.60	48.33	35.67
44	天津	71.43	38.62	86.29	1.87	62.50	10.75	11.54	67.69
45	太仓	31.00	27.00	40.50	23.69	36.50	44.00	47.00	44.00
46	太原	72.20	46.97	73.10	2.85	41.00	23.50	15.33	118.11
47	威海	25.25	7.75	41.00	17.15	3.00	72.67	68.67	4.67
48	宁波	22.67	11.89	26.11	7.24	15.78	60.12	60.00	7.38
49	安阳	77.00	45.30	63.33	4.99	36.40	22.60	24.00	34.75
50	宜兴	46.33	29.00	34.50	8.08	19.33	24.00	23.50	10.50
51	宜宾	64.29	39.76	50.43	2.25	26.00	9.57	8.50	17.00
52	宜昌	75.17	45.92	58.00	4.61	26.33	20.33	18.80	22.60
53	宝鸡	58.22	35.93	54.00	4.11	26.00	18.67	10.00	17.62
54	宿迁	73.00	39.23	73.00	5.92	21.20	24.00	26.50	18.50
55	富阳	50.25	9.30	26.00	19.16	43.25	97.50	63.67	160.33
56	寿光	37.33	22.33	40.00	16.88	18.33	33.50	49.50	23.00
57	岳阳	40.43	24.14	38.83	4.85	14.43	34.00	22.17	24.00
58	常州	36.00	19.29	40.57	7.80	14.86	56.00	51.83	11.50
59	常德	33.67	21.33	28.00	2.71	8.67	16.60	9.40	4.50
60	常熟	35.00	18.33	42.33	14.03	10.33	44.00	42.00	12.50
61	平度	17.33	11.00	26.67	16.51	11.00	43.00	49.50	18.50
