date	临潼区	兴庆小区	小寨	市人民体育场	广运潭	曲江文化产业集团	纺织城	经开区	草滩	长安区	阎良区	高压开关厂	
20150513	.58	1.88	4.04	4.12	2.45	2.45	1.63	2.24	2.79	1.20	1.42	2.48	
20150512	.65	1.08	2.19	1.83	2.04	1.68	1.36	1.55	2.59	.93	1.07	2.09	
20150511	.46	.74	1.70	1.37	1.79	1.16	1.08	1.58	2.33	.53	.80	1.39	
20150510	.65	.79	1.95	1.50	1.93	1.25	.89	2.25	2.38	.90	.96	1.52	
20150509	.63	.87	1.62	1.59	1.92	1.25	.84	2.20	2.30	.91	.90	1.54	
20150508	.62	.84	1.76	1.54	1.80	1.22	.82	2.27	2.31	.82	1.04	1.57	
20150507	.82	1.04	2.08	1.86	2.04	1.32	.88	2.47	2.60	1.08	1.37	1.88	
20150506	.52	.82	1.73	1.57	1.74	1.09	.82	2.16	2.16	.76	.91	1.95	
20150505	.49	.98	2.20	1.74	1.75	1.58	.95	2.23	2.25	1.37	.92	2.58	
20150504	.71	1.68	1.77	1.73	1.61	2.37	.74	2.73	2.50	.97	1.28	2.00	
20150503	�	1.78	1.49	1.66	1.76	2.31	.74	2.11	2.25	.93	1.11	1.76	
20150502	3.57	1.66	1.72	1.74	1.62	2.31	.77	2.32	2.26	.94	1.09	1.85	
20150501	2.83	1.52	1.40	1.43	1.57	2.07	.70	1.88	2.01	.78	.88	1.50	
20150430	1.85	1.81	1.83	1.77	1.87	2.23	.73	2.16	2.18	1.40	1.32	1.82	
20150429	1.68	1.74	1.83	1.86	1.78	2.34	.79	2.11	2.15	1.35	1.29	1.99	
20150428	1.47	2.49	2.91	2.42	2.04	2.86	1.25	2.37	1.94	1.24	1.26	1.78	
20150427	1.64	1.63	1.64	1.77	1.56	2.72	.62	2.06	�	1.05	1.12	1.73	
20150426	1.76	1.63	1.72	1.81	1.63	2.69	.23	2.19	1.66	1.12	1.22	2.21	
20150425	1.88	1.74	1.92	1.96	1.69	2.65	.23	2.19	1.73	1.30	1.35	2.17	
20150424	1.76	1.56	2.04	2.03	1.40	2.57	.50	2.16	1.76	1.26	1.42	1.49	
20150423	1.77	1.67	2.29	2.31	1.88	2.59	.66	1.91	1.44	1.47	1.31	1.64	
20150422	1.66	1.50	1.70	1.74	1.95	2.33	.84	2.55	2.63	1.41	1.11	1.30	
20150421	1.50	1.23	1.21	1.36	1.82	1.93	.53	2.84	2.75	.91	.79	.73	
20150420	1.86	1.46	1.60	1.74	2.07	2.11	.60	3.10	3.06	1.43	1.12	1.40	
20150419	1.63	1.35	1.31	1.53	2.08	2.19	.68	2.87	2.96	1.18	.97	1.12	
20150418	1.83	1.60	1.83	1.88	2.50	2.63	.92	3.29	3.19	1.45	1.15	1.73	
20150417	1.84	1.59	1.82	1.98	2.56	2.73	1.02	3.04	3.02	1.69	1.23	1.42	
20150407	�	2.19	2.37	1.50	1.59	2.42	1.96	2.34	1.95	1.56	.91	1.11	
