date	临潼区	兴庆小区	小寨	市人民体育场	广运潭	曲江文化产业集团	纺织城	经开区	草滩	长安区	阎良区	高压开关厂	
20150513	32.33	32.67	59.67	46.00	36.33	94.00	84.33	82.33	33.00	75.67	45.00	113.33	
20150512	44.09	27.18	42.55	30.64	24.91	71.55	69.82	47.82	29.82	66.55	29.00	74.45	
20150511	21.25	17.17	16.92	14.67	12.25	31.17	36.33	21.83	22.50	24.67	10.25	30.08	
20150510	21.92	13.33	27.33	17.67	15.42	38.08	35.00	19.67	17.25	53.17	7.08	43.33	
20150509	30.25	15.17	20.71	20.75	21.08	49.08	49.17	26.58	21.25	47.08	17.17	34.57	
20150508	24.58	14.00	24.18	20.50	22.42	50.00	45.75	31.83	24.50	38.42	15.42	38.80	
20150507	38.25	11.67	36.08	23.92	26.17	67.75	62.50	37.50	27.08	68.92	23.92	67.08	
20150506	28.67	167.00	30.83	23.00	21.36	58.25	61.33	31.67	25.17	50.67	15.92	49.25	
20150505	19.00	�	43.50	24.50	33.50	108.50	88.50	44.50	26.50	80.50	9.50	63.50	
20150504	33.00	11.75	30.38	�	14.00	43.12	63.88	49.00	30.88	47.12	38.00	70.25	
20150503	�	11.82	28.09	24.00	�	43.09	68.18	30.64	26.18	43.09	49.27	63.73	
20150502	30.67	10.25	21.50	17.83	�	29.67	41.50	26.17	21.25	30.83	26.83	39.83	
20150501	23.40	9.75	14.17	14.42	�	25.00	41.25	19.00	19.67	18.75	14.42	31.33	
20150430	36.25	10.00	24.25	21.83	30.00	36.75	49.58	25.00	18.75	49.25	22.92	49.50	
20150429	32.92	11.75	35.33	28.86	22.91	56.75	74.50	32.00	21.25	70.92	23.67	61.50	
20150428	32.00	20.00	79.00	42.00	44.00	109.00	132.00	77.00	25.00	52.00	44.00	125.00	
20150427	31.75	11.75	28.17	23.67	20.00	39.08	64.08	45.67	�	42.50	37.17	51.58	
20150426	42.67	13.75	38.17	28.08	�	55.17	74.33	58.25	28.25	53.50	42.00	66.25	
20150425	45.92	15.50	44.17	31.58	�	58.92	92.00	66.67	28.50	68.00	39.67	73.58	
20150424	39.42	14.67	39.00	29.00	�	62.42	76.71	65.92	31.67	57.42	54.00	51.92	
20150423	56.67	16.08	39.10	28.33	31.29	65.50	76.17	54.75	30.67	61.25	48.36	58.00	
20150422	39.67	15.43	43.00	26.75	25.25	69.75	54.14	42.75	29.75	62.42	42.33	48.83	
20150421	18.50	11.17	15.58	14.75	14.33	25.92	33.33	21.58	21.00	19.92	16.25	13.42	
20150420	29.00	12.50	27.58	20.17	19.25	35.92	42.17	26.58	20.58	45.67	23.58	30.33	
20150419	30.00	13.20	27.45	20.00	19.82	49.18	54.73	27.64	25.09	36.45	22.64	30.82	
20150418	47.33	18.50	36.67	25.50	26.17	64.67	67.92	40.25	27.08	53.25	32.00	52.50	
20150417	47.33	18.67	58.33	38.67	34.00	88.00	91.00	42.67	31.67	92.67	44.33	74.67	
20150407	�	2.00	43.33	18.33	28.33	4.00	60.67	42.33	28.00	44.33	27.00	29.00	
