date	临潼区	兴庆小区	小寨	市人民体育场	广运潭	曲江文化产业集团	纺织城	经开区	草滩	长安区	阎良区	高压开关厂	
20150513	45.00	9.33	8.67	14.00	2.00	7.00	6.67	3.00	18.67	9.33	6.00	7.67	
20150512	44.91	35.64	41.27	55.00	55.18	44.45	42.00	44.00	39.82	55.73	34.00	43.36	
20150511	57.92	38.17	51.08	63.08	67.17	52.08	58.08	54.25	44.67	63.58	46.25	49.83	
20150510	56.42	45.00	43.00	57.67	63.08	55.50	64.83	60.42	65.00	43.73	54.00	49.83	
20150509	60.42	49.17	85.00	82.00	72.92	61.42	70.58	77.08	73.67	62.42	55.83	72.67	
20150508	59.00	45.42	59.73	67.08	64.08	56.33	68.33	60.75	62.08	64.42	49.17	62.58	
20150507	39.83	25.67	28.00	38.42	29.67	27.67	32.00	28.58	33.17	32.42	25.75	31.75	
20150506	70.42	53.17	50.00	84.08	84.09	62.08	69.17	71.50	65.08	72.83	59.42	79.67	
20150505	83.50	65.00	84.00	137.00	58.50	93.00	69.00	76.50	95.50	133.00	81.00	124.50	
20150504	68.00	28.75	25.50	37.88	34.29	34.88	32.62	19.12	23.75	35.62	24.12	28.00	
20150503	�	28.55	33.09	47.00	41.45	41.45	42.82	39.73	41.55	49.00	26.55	36.45	
20150502	24.83	36.42	39.50	57.67	59.67	50.67	58.42	53.67	51.83	60.42	37.67	55.92	
20150501	52.00	25.92	37.83	46.33	54.83	45.67	46.25	39.92	44.75	55.92	40.67	38.42	
20150430	64.00	75.75	76.50	108.83	97.67	104.33	120.42	101.75	106.50	105.08	81.58	103.50	
20150429	60.33	54.25	49.83	86.17	69.09	63.50	70.50	91.58	85.83	57.83	77.92	79.27	
20150428	61.00	11.00	8.00	14.00	4.00	10.00	14.00	4.00	54.00	78.00	53.00	10.00	
20150427	55.50	33.83	44.08	59.00	54.89	56.40	59.33	53.08	�	63.58	58.17	58.09	
20150426	51.67	36.25	40.17	62.25	61.67	45.10	63.25	56.42	30.00	68.17	47.00	89.86	
20150425	53.50	47.67	40.83	71.17	50.83	58.17	62.08	49.92	67.50	66.92	59.25	96.43	
20150424	53.17	48.92	40.67	73.92	68.08	56.00	61.92	68.67	53.08	70.58	40.00	52.33	
20150423	41.33	35.67	38.80	58.42	47.17	41.92	55.08	51.42	42.33	57.67	36.18	20.00	
20150422	40.67	35.29	24.00	44.83	50.25	29.08	35.50	39.67	38.42	39.58	30.67	37.50	
20150421	60.00	44.33	51.17	79.67	81.42	65.00	77.67	76.08	58.92	87.17	53.92	38.25	
20150420	40.25	34.92	33.75	55.92	49.25	46.75	52.67	52.83	49.42	51.42	45.17	30.00	
20150419	42.18	33.40	29.27	42.09	46.18	35.36	40.09	39.55	33.55	52.45	34.27	14.70	
20150418	28.00	9.00	16.92	24.25	22.08	19.00	19.50	18.00	24.75	24.25	25.58	16.92	
20150417	38.00	19.67	17.00	26.33	34.33	22.33	27.67	39.67	45.67	19.33	45.00	22.50	
20150407	�	10.00	11.67	18.67	2.00	13.00	10.00	4.33	10.33	22.00	20.00	16.00	
