date	临潼区	兴庆小区	小寨	市人民体育场	广运潭	曲江文化产业集团	纺织城	经开区	草滩	长安区	阎良区	高压开关厂	
20150513	92.00	200.33	171.00	197.33	77.33	170.00	158.00	131.67	155.00	91.00	169.00	171.67	
20150512	108.64	97.82	99.91	99.27	49.73	97.55	107.55	113.09	132.91	89.64	93.64	112.27	
20150511	80.50	72.08	70.58	65.58	35.45	77.75	70.45	56.42	71.08	51.67	43.67	72.75	
20150510	109.25	94.00	95.75	108.33	50.27	103.75	87.55	88.58	95.09	128.00	75.50	98.42	
20150509	95.83	102.42	93.71	101.17	56.92	100.08	92.25	78.17	78.17	88.33	78.33	88.25	
20150508	79.67	79.83	83.91	93.33	44.33	83.42	74.75	91.50	97.83	83.70	63.33	88.25	
20150507	123.92	131.42	138.33	137.58	63.36	145.67	120.17	113.92	133.75	126.00	96.25	131.25	
20150506	81.08	103.17	81.17	78.73	52.45	93.75	106.58	72.92	119.00	74.83	49.67	96.50	
20150505	88.00	78.50	113.00	115.00	52.00	135.00	88.00	103.50	135.00	139.50	47.00	131.50	
20150504	110.00	65.50	67.50	60.62	37.71	63.00	67.43	92.00	157.88	59.00	93.00	75.25	
20150503	�	77.55	72.09	77.18	52.82	73.45	77.55	66.09	96.64	57.36	81.00	81.00	
20150502	69.50	81.17	75.42	81.50	47.08	98.50	67.92	70.83	83.58	54.42	63.17	76.25	
20150501	220.00	131.83	120.08	102.08	45.91	136.83	117.60	90.82	92.27	87.50	79.83	122.25	
20150430	156.92	144.17	129.92	131.09	79.18	155.25	125.50	117.33	128.83	126.18	97.92	132.17	
20150429	134.83	132.50	126.42	127.83	79.71	134.33	129.50	120.75	147.92	137.92	112.50	138.73	
20150428	59.00	144.00	124.00	94.00	115.00	135.00	120.00	112.00	117.00	98.00	123.00	105.00	
20150427	82.25	93.58	100.08	79.58	55.50	82.50	73.67	80.33	�	64.50	78.83	91.58	
20150426	140.17	138.42	107.00	117.25	66.30	131.33	114.33	123.67	144.00	87.08	102.33	140.92	
20150425	139.08	127.17	113.67	116.42	71.30	120.00	125.17	145.75	163.83	92.25	109.00	140.67	
20150424	100.67	89.42	93.00	91.25	50.10	107.42	96.75	123.58	232.91	72.58	99.67	106.42	
20150423	113.58	85.17	95.50	113.64	48.00	95.00	84.92	117.25	166.25	77.92	94.82	108.67	
20150422	73.00	81.14	72.33	79.17	37.75	79.50	78.50	75.25	107.50	71.58	64.75	86.83	
20150421	31.64	33.92	29.42	41.09	18.55	33.75	31.10	28.00	51.00	26.38	26.17	35.25	
