date	临潼区	兴庆小区	小寨	市人民体育场	广运潭	曲江文化产业集团	纺织城	经开区	草滩	长安区	阎良区	高压开关厂	
20150513	9.00	16.67	23.67	13.33	21.00	5.67	13.00	21.33	15.33	10.00	26.33	11.00	
20150512	10.45	14.64	24.64	11.91	18.82	10.09	15.91	23.36	17.91	12.73	26.36	8.27	
20150511	5.92	7.92	21.33	11.17	16.42	6.75	8.75	21.75	13.33	7.67	21.25	22.92	
20150510	7.17	8.75	20.50	11.67	16.50	6.25	7.67	19.92	11.75	8.50	20.08	23.08	
20150509	7.17	11.33	21.42	11.92	21.00	8.58	10.58	24.08	13.75	9.50	21.17	25.58	
20150508	8.17	11.17	25.83	11.33	17.33	5.67	9.17	20.67	12.50	11.92	22.33	24.58	
20150507	13.50	15.83	24.00	13.00	26.25	13.33	14.08	27.75	17.50	19.33	24.42	30.83	
20150506	7.50	12.67	25.00	12.00	19.58	9.08	12.50	23.50	16.17	13.50	23.17	30.08	
20150505	6.50	11.50	21.50	12.00	22.00	13.50	12.00	20.50	14.50	17.00	21.50	26.00	
20150504	3.88	9.50	24.25	11.62	17.25	8.00	8.50	22.12	17.25	17.75	31.00	26.88	
20150503	8.45	10.36	21.91	11.64	21.00	8.00	10.55	21.09	13.09	12.00	24.36	23.36	
20150502	12.33	7.50	18.83	11.67	16.25	6.00	7.92	20.17	12.75	11.58	22.17	23.00	
20150501	7.50	8.00	23.83	12.17	17.42	3.42	6.42	18.92	11.42	7.67	18.50	22.58	
20150430	8.67	10.75	25.67	16.17	28.67	14.50	16.75	26.33	15.42	13.08	26.83	26.25	
20150429	13.33	17.75	22.42	13.00	27.67	16.75	24.75	26.17	17.00	14.75	26.00	29.82	
20150428	11.00	14.00	24.00	12.00	26.00	6.00	20.00	20.00	15.00	8.00	21.00	23.00	
20150427	11.75	9.73	21.42	12.40	20.00	7.50	10.33	21.58	17.33	12.08	23.08	24.17	
20150426	10.33	15.08	26.00	�	29.58	9.67	14.92	25.00	19.83	12.42	27.08	29.25	
20150425	12.83	19.42	27.58	12.89	25.25	14.00	21.17	25.00	20.25	12.67	29.08	32.92	
20150424	5.92	16.17	26.83	12.17	22.00	10.50	17.67	25.00	18.67	13.00	30.50	21.50	
20150423	7.83	16.58	26.33	12.08	23.83	10.17	16.92	23.50	15.33	15.83	29.25	12.92	
20150422	4.42	12.00	21.17	11.42	16.58	11.67	14.33	24.42	13.25	17.17	29.00	12.58	
20150421	11.17	8.75	22.58	10.92	19.42	5.33	7.42	18.50	12.44	8.50	19.83	6.58	
