date	临潼区	兴庆小区	小寨	市人民体育场	广运潭	曲江文化产业集团	纺织城	经开区	草滩	长安区	阎良区	高压开关厂	
20150331	80.83	120.08	123.33	120.00	136.00	127.00	128.67	104.33	144.50	107.00	93.08	138.08	
20150330	76.00	83.91	84.64	75.27	74.45	87.82	99.36	76.55	84.45	97.45	77.00	92.73	
20150329	110.25	136.75	125.58	108.75	76.92	133.42	144.42	107.58	140.67	138.58	105.17	148.17	
20150328	64.08	76.75	67.33	72.00	61.58	73.00	76.17	75.92	97.08	64.42	78.67	83.92	
20150327	85.73	85.00	75.27	106.45	91.45	75.18	81.00	103.55	100.64	60.00	85.00	108.45	
20150326	39.58	57.75	61.92	63.08	53.25	55.25	46.25	55.58	40.42	48.75	42.17	70.17	
20150325	63.17	96.42	93.58	96.25	73.67	73.50	79.92	105.17	75.00	71.17	78.75	72.00	
20150324	91.08	80.92	110.08	103.58	88.58	78.25	95.92	112.42	99.75	87.17	111.83	95.50	
20150323	50.33	53.58	59.75	49.58	52.75	36.92	47.67	62.75	47.83	39.08	69.25	45.33	
20150322	87.50	102.17	113.25	98.42	67.17	83.17	97.92	105.58	97.50	97.25	83.08	107.75	
20150321	69.92	71.33	73.83	66.50	45.82	57.67	72.33	82.92	106.50	78.42	70.42	73.75	
20150320	51.08	56.92	52.92	47.92	38.75	42.75	88.14	47.67	54.50	44.92	57.42	52.58	
20150319	66.17	63.67	70.42	80.33	57.75	56.42	68.70	63.83	73.75	46.33	93.75	63.42	
20150318	74.08	73.17	91.33	89.08	89.83	66.42	115.33	113.50	62.33	69.00	86.25	72.67	
20150317	182.08	160.33	204.25	197.42	135.08	149.25	166.33	171.25	162.08	162.58	131.58	168.50	
20150316	158.17	186.33	297.00	242.08	219.08	183.92	191.17	203.50	199.92	150.50	132.33	194.75	
20150315	162.17	143.83	188.92	169.83	107.67	137.83	162.83	168.83	145.08	149.92	155.25	152.25	
20150314	135.42	122.50	136.42	140.92	90.83	121.08	132.75	132.00	125.17	123.25	126.50	121.17	
20150313	101.42	100.08	120.92	123.83	84.67	94.25	111.33	129.75	132.67	101.17	132.58	114.00	
20150312	98.17	98.75	92.83	105.58	99.25	81.67	106.17	103.75	107.92	87.58	105.92	103.42	
20150311	90.33	90.08	92.00	94.75	68.92	78.92	92.33	86.42	93.75	84.08	88.00	87.00	
20150310	99.08	91.08	94.67	89.33	58.42	89.50	95.18	83.50	87.33	95.67	74.42	86.75	
20150309	90.67	82.75	71.83	78.17	49.58	69.17	84.83	73.50	89.17	86.00	72.17	79.83	
20150308	68.00	64.00	56.00	59.00	54.00	65.00	65.00	68.00	74.00	79.00	66.00	63.00	
20150303	111.33	136.67	118.00	114.67	49.00	119.00	147.67	97.00	131.67	178.00	73.33	120.33	
20150209	73.25	83.25	82.50	73.00	47.75	94.25	91.75	62.75	73.50	87.75	69.50	77.50	
20150208	78.42	77.50	71.42	87.08	54.75	80.83	84.00	72.50	81.50	81.00	66.33	75.25	
20150207	62.42	66.17	61.83	107.00	47.58	72.25	70.67	61.75	84.08	71.67	65.83	66.92	
20150206	88.08	77.33	80.50	91.75	70.42	82.50	92.67	97.08	110.92	71.83	84.83	96.58	
