date	临潼区	兴庆小区	小寨	市人民体育场	广运潭	曲江文化产业集团	纺织城	经开区	草滩	长安区	阎良区	高压开关厂	
20150331	1.20	2.62	3.02	2.20	2.14	2.46	2.33	2.45	2.29	2.23	1.34	1.72	
20150330	1.07	2.04	2.07	1.53	1.62	1.90	1.97	1.94	1.77	2.14	1.04	1.18	
20150329	1.04	2.35	2.81	2.07	1.88	2.22	2.22	2.19	1.80	2.26	1.23	1.74	
20150328	.97	2.11	2.35	1.92	1.62	1.86	2.07	2.08	1.98	1.73	1.08	1.51	
20150327	1.18	2.19	1.99	1.64	1.76	1.78	2.10	1.97	1.85	1.33	1.06	1.29	
20150326	.99	1.68	1.82	1.29	1.34	1.59	1.80	1.47	1.37	1.21	.83	1.02	
20150325	1.15	1.89	2.08	1.62	.33	1.78	2.22	1.77	1.65	1.70	1.05	1.39	
20150324	1.21	1.98	2.18	1.63	1.28	3.20	2.24	1.88	1.72	1.72	1.71	1.33	
20150323	.93	1.27	1.31	1.10	1.28	2.85	1.07	1.35	1.68	1.08	1.46	1.02	
20150322	1.01	1.69	2.05	1.85	1.48	3.13	.35	1.60	2.39	1.58	1.65	1.53	
20150321	.92	1.27	1.80	1.56	1.20	2.82	.31	1.70	2.70	1.45	1.63	1.57	
20150320	.96	1.31	1.45	1.20	1.51	2.60	.47	1.15	2.17	1.20	1.42	1.02	
20150319	.85	1.87	1.79	1.74	2.03	2.96	.79	1.72	2.61	1.62	2.02	1.51	
20150318	1.03	1.63	1.51	1.46	1.75	2.80	.58	1.34	2.28	1.66	1.80	1.34	
20150317	�	2.40	2.49	2.46	2.37	3.37	.99	2.07	2.99	2.69	2.12	2.41	
20150316	�	2.74	2.80	3.07	2.64	3.95	1.04	2.29	2.97	2.43	2.05	2.62	
20150315	�	1.82	2.01	2.12	1.98	2.79	.67	1.64	2.42	2.67	2.34	2.00	
20150314	�	1.56	1.59	1.87	1.61	2.44	.71	1.35	2.16	2.06	1.98	1.63	
20150313	�	1.53	1.92	2.82	1.62	2.42	.85	1.94	2.24	2.96	2.51	2.62	
20150312	�	1.77	1.89	2.75	1.44	3.41	1.03	1.80	2.04	3.11	2.14	1.81	
20150311	�	1.62	1.48	1.52	2.29	2.00	.93	1.09	1.79	1.90	1.61	1.29	
20150310	�	1.47	1.37	1.26	3.09	1.48	.74	.75	1.51	1.68	1.45	1.08	
20150309	�	1.37	1.32	1.26	2.95	1.20	.91	.85	1.38	2.74	1.48	1.28	
20150308	2.66	1.90	1.84	2.55	3.70	3.54	.75	1.54	1.67	7.88	3.09	1.13	
20150303	1.70	.38	2.43	.52	2.07	�	.59	.71	1.25	2.26	1.34	1.13	
20150209	1.28	2.09	2.78	.64	2.93	2.43	1.38	1.81	2.32	1.55	2.78	2.75	
20150208	1.09	1.85	2.51	.90	2.97	2.26	1.19	2.03	2.32	1.66	2.92	2.93	
20150207	.95	1.88	2.34	.91	3.21	2.14	1.00	1.87	2.30	1.16	2.78	2.54	
20150206	1.91	2.34	2.88	1.81	3.68	2.50	1.89	2.99	3.04	1.95	3.15	3.40	
