date	临潼区	兴庆小区	小寨	市人民体育场	广运潭	曲江文化产业集团	纺织城	经开区	草滩	长安区	阎良区	高压开关厂	
20150331	34.17	36.33	53.67	27.58	31.75	80.18	71.75	22.08	31.60	72.42	31.17	38.17	
20150330	32.36	27.73	38.27	19.64	23.73	69.50	51.30	7.27	22.50	61.45	29.82	26.00	
20150329	33.08	50.17	57.50	25.83	25.50	46.00	65.42	10.50	26.17	85.50	43.00	38.00	
20150328	30.33	45.50	45.58	22.00	25.00	44.22	58.33	9.92	25.25	57.92	38.33	32.25	
20150327	34.27	56.10	32.73	19.45	26.00	52.18	61.18	9.64	26.73	40.73	37.91	27.73	
20150326	27.50	41.00	34.42	16.17	14.42	49.50	39.58	6.50	16.50	42.58	19.17	22.08	
20150325	29.83	55.50	41.08	17.67	20.25	29.91	52.00	8.83	21.75	53.83	25.08	30.08	
20150324	32.33	68.50	43.67	12.17	26.75	13.75	61.08	10.17	26.17	62.75	38.25	32.25	
20150323	27.42	32.25	28.83	11.00	17.50	7.25	38.25	8.67	25.83	36.83	23.75	26.25	
20150322	29.83	63.08	58.75	15.50	32.58	16.25	78.33	13.75	33.92	67.25	39.67	46.17	
20150321	28.58	37.50	54.17	14.83	23.36	14.17	64.58	15.58	36.08	64.17	43.00	40.83	
20150320	26.58	37.00	33.17	12.17	22.75	10.67	43.14	8.58	30.67	34.00	26.92	28.17	
20150319	21.50	47.58	38.42	17.67	30.00	17.17	60.10	12.50	30.00	43.92	41.75	33.42	
20150318	24.75	40.92	35.17	17.58	20.17	14.33	51.83	13.67	22.67	43.92	19.50	31.08	
20150317	32.50	111.50	101.00	16.83	54.42	50.75	123.25	25.00	48.25	127.75	43.17	68.42	
20150316	28.08	131.25	92.17	23.75	49.33	57.08	122.17	22.83	46.67	84.17	44.50	73.92	
20150315	23.33	101.33	92.58	29.42	43.92	49.17	113.33	19.42	38.08	121.58	62.33	71.17	
20150314	21.42	85.58	63.00	26.42	42.67	36.00	96.67	15.67	33.58	80.67	47.00	55.42	
20150313	20.25	77.33	74.08	33.50	42.33	43.25	89.67	25.17	36.50	93.17	62.25	65.92	
20150312	20.00	114.17	71.92	39.33	53.17	51.00	124.42	30.00	40.08	90.50	73.25	65.67	
20150311	20.00	59.75	40.08	22.67	30.58	27.67	66.33	12.75	30.42	50.33	34.58	41.33	
20150310	24.17	43.67	38.25	19.58	12.92	27.08	53.36	9.67	23.75	61.17	22.83	35.42	
20150309	41.25	49.58	46.42	23.17	7.00	27.75	58.08	12.92	34.58	61.67	33.75	39.83	
20150308	38.00	106.00	87.00	41.00	14.00	61.00	106.00	29.00	68.00	112.00	89.00	62.00	
20150303	29.67	29.00	21.33	11.67	3.67	12.00	22.00	5.33	12.00	21.67	6.00	18.67	
20150209	15.50	54.00	59.50	15.75	13.50	49.25	55.75	9.75	49.50	63.75	28.00	38.75	
20150208	22.25	45.17	52.75	15.17	12.58	44.92	51.08	13.08	52.92	72.08	35.00	39.00	
20150207	20.92	51.17	42.75	13.18	13.42	38.92	51.67	10.58	59.58	49.17	39.25	30.67	
20150206	33.67	71.58	58.75	19.83	20.17	60.75	77.92	22.00	84.50	72.83	53.50	49.17	
