date	临潼区	兴庆小区	小寨	市人民体育场	广运潭	曲江文化产业集团	纺织城	经开区	草滩	长安区	阎良区	高压开关厂	
20150331	36.75	20.42	19.42	33.00	24.92	23.55	21.25	28.25	34.00	26.83	37.08	47.50	
20150330	42.75	55.27	44.91	83.45	71.36	56.82	70.91	84.73	76.91	39.27	58.64	67.27	
20150329	44.92	34.83	29.67	54.50	56.42	34.33	70.25	55.08	53.92	34.58	35.25	49.42	
20150328	40.67	27.33	24.42	42.08	32.33	29.50	31.08	34.00	35.42	42.00	29.33	31.67	
20150327	16.36	13.64	22.91	29.36	14.18	22.55	15.09	18.73	20.91	29.64	27.64	21.18	
20150326	37.75	30.50	21.08	47.00	44.50	26.75	39.33	58.25	54.42	31.08	43.17	33.25	
20150325	23.83	15.83	11.83	23.58	23.75	15.00	21.00	29.17	33.67	7.67	28.92	20.17	
20150324	15.08	11.58	11.25	17.58	8.73	11.75	11.42	14.25	18.08	7.67	15.83	9.83	
20150323	45.67	33.00	39.25	51.33	56.92	47.67	52.67	50.08	40.75	57.25	36.25	49.83	
20150322	35.00	20.83	20.33	33.67	33.17	22.83	30.00	29.58	28.42	16.89	30.33	28.92	
20150321	38.50	36.25	26.67	44.25	58.00	31.83	40.17	39.17	35.75	35.50	27.50	35.44	
20150320	48.00	27.75	35.75	50.17	49.00	40.25	56.71	45.58	31.75	48.92	33.83	34.17	
20150319	14.42	10.83	17.33	20.50	9.75	13.42	10.80	12.67	16.83	16.83	12.17	20.92	
20150318	29.33	23.42	25.50	39.00	37.58	29.92	30.67	37.25	44.00	31.75	37.67	32.83	
20150317	27.67	19.83	13.25	26.00	15.42	17.42	23.50	15.17	23.17	17.67	28.42	35.83	
20150316	28.58	33.83	32.17	55.00	40.92	36.17	42.33	44.00	42.75	64.50	39.58	53.58	
20150315	23.00	26.33	11.33	30.92	29.67	12.83	25.58	28.67	42.58	9.17	31.33	32.17	
20150314	35.58	42.50	32.92	62.50	45.83	39.67	50.83	58.42	54.50	49.25	40.58	40.17	
20150313	38.67	43.00	28.67	54.33	48.58	38.17	53.42	46.83	46.75	43.00	30.67	49.00	
20150312	28.92	25.17	23.92	38.58	33.42	28.75	31.67	32.25	42.75	42.75	27.08	33.25	
20150311	23.83	26.08	25.58	41.67	33.33	30.25	33.67	33.67	33.42	40.92	26.83	34.58	
20150310	22.58	26.50	21.00	34.25	29.75	23.92	31.45	33.92	35.50	23.17	28.67	28.25	
20150309	24.42	30.67	21.83	36.58	38.67	29.08	36.92	35.67	32.75	31.33	26.33	24.83	
20150308	39.00	16.00	8.00	14.00	8.00	9.00	23.00	3.00	19.00	17.00	11.00	14.00	
20150303	36.00	64.67	42.00	83.00	76.33	53.67	79.00	84.33	60.67	64.67	44.00	48.33	
20150209	13.00	12.50	7.25	18.75	9.50	7.25	7.00	28.75	28.75	5.00	22.00	11.25	
20150208	21.08	25.08	19.33	32.42	28.00	18.92	25.50	30.42	30.92	18.67	21.83	25.00	
20150207	26.67	23.92	25.75	39.55	33.33	25.92	30.50	38.25	28.50	37.08	23.17	28.58	
20150206	12.83	15.58	17.25	26.92	13.00	14.83	15.25	19.67	20.42	21.18	17.58	25.50	
