date	临潼区	兴庆小区	小寨	市人民体育场	广运潭	曲江文化产业集团	纺织城	经开区	草滩	长安区	阎良区	高压开关厂	
20150331	111.08	189.83	195.17	145.67	91.67	203.18	152.09	137.92	196.75	133.17	117.17	202.42	
20150330	101.64	117.09	118.64	95.09	65.36	123.27	108.30	102.73	118.27	135.82	103.55	123.55	
20150329	170.17	223.00	200.75	166.67	89.42	216.50	190.58	164.75	229.67	228.73	159.75	245.67	
20150328	79.75	103.33	84.08	89.83	63.89	96.08	101.75	100.82	143.17	80.33	96.33	115.08	
20150327	120.82	119.64	96.45	107.00	80.88	97.64	103.09	106.00	130.73	62.00	93.73	125.55	
20150326	39.67	66.33	66.67	54.50	47.80	62.83	47.42	64.33	46.12	56.67	42.42	65.09	
20150325	85.45	85.30	136.50	104.62	62.67	85.64	79.40	�	86.80	78.00	94.83	91.50	
20150324	131.67	139.00	169.33	134.92	84.56	104.67	137.33	116.70	145.92	120.17	170.92	137.50	
20150323	56.25	65.91	68.92	50.08	31.25	36.25	51.33	58.75	53.70	41.00	88.17	47.80	
20150322	124.33	153.83	176.17	138.75	72.50	112.75	144.92	126.67	145.17	144.17	115.58	163.42	
20150321	89.17	92.08	97.08	82.67	46.36	68.50	94.25	104.82	162.42	106.33	90.17	97.17	
20150320	54.42	64.25	56.83	49.33	38.33	44.25	86.50	58.38	61.00	45.42	64.42	57.67	
20150319	81.25	72.27	89.83	85.09	58.75	59.50	83.50	74.67	102.18	43.33	138.67	74.75	
20150318	96.50	97.33	132.17	98.83	88.62	76.18	119.25	109.80	83.00	99.89	122.00	91.25	
20150317	299.08	270.25	332.58	252.75	169.58	211.25	274.92	225.17	258.92	264.67	212.58	273.00	
20150316	252.92	313.08	413.08	298.33	185.70	258.42	303.67	261.42	302.92	247.33	214.33	308.33	
20150315	263.50	237.17	305.75	224.08	144.08	191.50	259.42	222.67	239.67	247.83	260.08	247.92	
20150314	220.33	194.58	221.17	186.50	110.25	164.50	204.42	166.92	200.00	195.67	202.50	187.08	
20150313	152.50	149.83	187.17	172.17	104.83	127.08	170.08	184.83	214.75	150.75	214.75	174.92	
20150312	146.17	147.08	131.83	146.33	100.50	106.33	161.75	146.67	165.17	125.00	161.17	156.25	
20150311	130.17	129.75	133.58	118.50	79.92	102.42	134.25	112.58	137.08	117.75	125.58	123.33	
20150310	145.42	131.50	139.00	126.42	62.25	114.67	139.27	111.42	124.33	139.92	99.17	121.42	
20150309	130.67	115.33	93.33	105.50	53.50	83.75	119.17	93.83	127.83	121.33	93.75	109.25	
20150308	85.00	78.00	62.00	67.00	57.00	80.00	79.00	85.00	98.00	105.00	82.00	75.00	
20150303	172.00	210.67	185.33	179.00	56.67	187.33	212.33	147.00	201.67	259.00	96.00	190.67	
20150209	95.75	116.00	114.50	93.75	46.50	138.50	133.00	75.25	96.50	125.00	88.25	105.00	
20150208	106.67	104.67	92.67	102.82	52.18	111.33	118.00	94.67	112.33	112.83	82.08	98.17	
20150207	74.58	82.00	71.33	93.17	52.17	94.00	90.25	68.33	117.92	70.55	86.83	82.83	
20150206	125.83	103.92	103.83	113.17	78.08	111.08	129.33	129.00	169.75	90.58	119.17	135.58	
