date	临潼区	兴庆小区	小寨	市人民体育场	广运潭	曲江文化产业集团	纺织城	经开区	草滩	长安区	阎良区	高压开关厂	
20150331	14.17	21.25	31.00	14.50	29.25	15.83	15.33	26.17	17.64	19.00	27.75	35.75	
20150330	12.45	17.27	29.09	17.64	30.18	15.64	16.40	26.27	17.91	13.91	31.18	40.55	
20150329	19.67	22.00	32.33	20.08	36.58	17.67	21.92	26.50	20.08	17.08	31.67	41.58	
20150328	7.75	12.83	25.67	15.42	23.08	9.83	14.17	22.08	16.83	9.17	27.08	34.50	
20150327	8.55	10.91	25.82	16.55	21.18	8.82	10.36	25.18	17.64	23.09	23.55	32.27	
20150326	6.67	7.50	22.58	16.25	21.75	6.17	7.67	19.08	12.25	3.92	20.33	29.25	
20150325	3.92	12.17	22.17	15.83	18.33	6.08	7.25	18.67	12.33	5.08	21.83	21.42	
20150324	13.25	10.00	29.08	22.67	28.00	13.25	14.75	25.92	17.17	10.92	27.83	23.17	
20150323	4.83	20.83	22.00	20.83	19.17	6.33	7.50	18.33	13.25	6.58	21.58	15.75	
20150322	21.00	17.50	31.42	22.08	32.50	15.75	24.92	28.58	21.00	8.75	36.92	28.67	
20150321	16.33	12.08	26.75	20.92	23.92	10.75	17.42	24.58	20.50	10.50	28.92	22.92	
20150320	8.42	12.42	24.58	20.67	20.33	7.50	16.08	21.42	17.17	10.92	24.00	19.17	
20150319	8.08	14.67	24.83	22.17	23.75	7.58	8.75	22.17	16.25	8.58	25.58	18.17	
20150318	6.33	46.67	25.42	23.42	23.00	6.50	33.67	19.33	14.17	9.33	21.67	18.58	
20150317	33.08	46.58	51.33	28.75	55.25	30.25	54.33	37.92	31.25	34.50	34.25	46.50	
20150316	41.42	55.00	55.00	28.75	50.83	31.83	58.75	38.42	32.08	31.83	38.58	50.50	
20150315	48.83	36.50	61.75	32.58	53.50	45.58	45.58	49.83	35.75	35.25	49.33	55.42	
20150314	47.00	49.08	50.25	30.58	53.25	40.50	58.92	44.58	30.67	31.08	43.75	48.92	
20150313	37.75	35.33	52.08	31.25	54.33	32.08	49.75	42.83	26.17	47.83	43.75	51.92	
20150312	24.83	30.42	31.33	28.33	41.50	20.42	44.17	35.08	25.33	42.67	39.08	37.08	
20150311	30.50	36.50	25.83	28.42	45.33	31.83	42.75	36.25	35.67	40.17	36.75	36.50	
20150310	36.25	33.50	32.33	33.33	39.75	48.92	41.27	41.50	25.50	47.83	33.75	43.83	
20150309	30.33	23.92	26.00	29.08	28.33	28.33	31.83	33.83	22.83	36.50	33.00	38.17	
20150308	8.00	53.00	15.00	25.00	25.00	30.00	43.00	23.00	15.00	37.00	37.00	31.00	
20150303	8.00	41.33	11.00	20.33	34.33	27.00	69.33	15.33	11.33	17.67	21.33	17.33	
20150209	30.75	41.75	51.75	47.50	45.75	29.00	54.00	37.00	23.50	45.25	48.25	36.00	
20150208	39.67	25.83	32.17	47.58	52.33	36.17	33.75	37.67	26.00	41.75	39.67	38.67	
20150207	58.75	40.33	26.83	39.73	50.67	32.58	56.17	40.33	28.92	28.83	35.33	23.00	
20150206	77.17	34.42	27.33	47.00	63.50	31.58	43.67	40.25	34.25	39.50	45.25	40.75	
